Use dark mode frequency,Preferred everyday mode,Why prefer that mode,Satisfaction with text visibility,Comfort scale (1-10),Eye strain difference noticed,More visually attractive,Comfort after long use in dark mode,Readability of dark vs light
Sometimes,Dark mode,Easier on the eyes,Very satisfied,9,Yes: Dark mode reduces eye strain,Light mode,Somewhat comfortable,About the same
Sometimes,Light mode,Looks better,Satisfied,8,Yes: Light mode reduces eye strain,Light mode,Very comfortable,About the same
